Artifact ID;Title;Description;Image Name;Model Name;Description Enriched;Location
10;Protogeometric Lekythos from Athens;Protogeometric Lekythos from Athens in the Academic Art Museum Bonn (Inv. Nr. 997);protogeometric_lekythos_from_athens;Protogeometric_lekythos_from_athens;This lekythos, originating from ancient Athens, dates back to the Protogeometric period, a phase in Greek art that spanned roughly from 1050 to 900 BC. Characteristic of this era, the vessel showcases the early use of geometric motifs that would become more complex in subsequent periods. \n\nThe lekythos, a type of pottery used primarily for storing and pouring oil, especially fine scented oils that were often used for personal grooming or in funerary rites, exhibits a slender body and a narrow neck which elegantly tapers to meet a pointed mouth. This form made it ideal for its purpose, allowing for controlled dispensing of liquids. \n\nThe artifact's surface is adorned with concentric circles and linear patterns, typically executed in a dark pigment on a light clay background. These decorations are not merely ornamental but also hold significant cultural implications, symbolizing order and harmony in the universe, themes that resonated deeply in Greek philosophy and cosmology.\n\nCurrently housed in the Academic Art Museum in Bonn, this lekythos is not just a utilitarian vessel, it is a window into the daily life and spiritual practices of early Greeks, reflecting both artistic innovation and cultural values of the Protogeometric period.;37.983810, 23.727539
11;Corinthian bowl;Corinthian bowl in the Academic Art Museum Bonn (Inv. Nr. 1674). The bowl is dated around 575 BC and, together with other vessels of the same group, belongs to the heyday of the archaic pottery production in Corinth. Its findspot is not known. The very thin-walled vessel has a low foot, a bulbous body, a sharply set off rim and horizontally attached handles. The body shows a circumferential frieze with groups of two or three fighting warriors on the side and horsemen galloping to the left on the other side. Underneath the handles a swan and a flying eagle are depicted. Rosettes fill the empty spaces between the figures.;corinthian_bowl;Corinthian_bowl;This exceptional Corinthian bowl, housed at the Academic Art Museum in Bonn, represents a pinnacle of archaic pottery production from Corinth, dating back to around 575 BC. Despite the mystery surrounding its findspot, the bowl's intricacies tell a story of a rich artistic endeavor during this time period.\n\nThe vessel is characterized by its remarkably thin walls, a testament to the sophisticated techniques employed by Corinthian potters. It rests on a low foot, supporting a bulbous body that transitions smoothly to a sharply defined rim. The horizontally attached handles not only serve a functional purpose but also contribute to the aesthetic harmony of the piece. \n\nThe decorative scheme of the bowl is a vivid narrative panel, presenting a dynamic frieze that encircles the vessel. On one side, the bowl features meticulously portrayed scenes of combat with groups of two or three warriors engaged in battle, showcasing the tumult and vigor typical of such depictions in Corinthian pottery. Opposite this, horsemen are illustrated galloping to the left, their movements captured with a sense of both motion and grace. This portrayal of horsemen is particularly noteworthy as it reflects the societal value placed on horses and their riders during the period.\n\nBeneath the handles, the imagery shifts to the animal kingdom with the representation of a swan and a flying eagle, each rendered with attention to detail that breathes life into these creatures. The use of rosettes to fill the empty spaces between figures is a decorative motif that adds a final flourish to the design, integrating elements of nature with human and animal activities.\n\nTogether, these features make this Corinthian bowl not only a valuable piece of ancient craftsmanship but also a captivating visual record of the cultural and artistic norms of its era. This artifact remains an invaluable resource for understanding the artistic expressions and societal values of ancient Corinth.;37.903056, 22.874722
12;Attic red-figure Pelike;Attic red-figure Pelike in the Academic Art Museum Bonn (Inv. Nr. 75);attic_red-figure_pelike;Attic_red-figure_pelike;This Attic red-figure Pelike, housed in the Academic Art Museum in Bonn, is an exemplary artifact from ancient Greece, specifically from the Attic region. Dating back to the classical period, this pelike is a type of storage vessel, traditionally used for storing oil and wine. Its red-figure style, popularized in Athens around 530 BCE, involves figures in red, contrasting against a black background, achieved through a sophisticated process of firing the pottery.\n\nThe artwork on this particular pelike likely depicts scenes from daily life or mythology, which remain vibrant on the ceramic surface despite the passage of centuries. Such vessels not only served practical functions but also held great artistic and cultural significance, often being used in domestic contexts or as grave offerings. The craftsmanship evident in the form and decoration showcases the advanced techniques of ancient Greek potters and painters, making it a treasured piece in the museum's collection for both its aesthetic qualities and its historical value.;37.9838, 23.7275
13;Attic black-figure Amphora;Attic black-figure Amphora in the Academic Art Museum Bonn (Inv. Nr. 44);attic_black-figure_amphora;Attic_black-figure_amphora;This Attic black-figure amphora, a precious artifact housed in the Academic Art Museum in Bonn, displays the exquisite craftsmanship of ancient Greek pottery. Originating from the region of Attica, the birthplace of black-figure technique around the 7th century BC, this amphora is a remarkable testament to the artistic and cultural practices of that era.\n\nThe amphora stands as a classic example of Greek vase painting, where silhouetted figures are rendered in black glaze against a natural clay background. This technique, which involved using a slip to paint images on the pottery that turned black during firing, allowed for intricate, detailed designs, often depicting mythological scenes, everyday Greek life, and athletic contests.\n\nWhat distinguishes this particular amphora are the scenes illustrated on its broad body. These images not only served as decorative elements but also conveyed stories and symbols important to the contemporary viewer, potentially serving educational or celebratory functions within the community.\n\nOften used for storing and transporting oils, wines, and grains, amphorae like this one played a crucial role in Greek trade and daily life, being both utilitarian and a vehicle for artistic expression. Today, this amphora not only provides insights into ancient techniques and aesthetics but also into the social and economic contexts of ancient Greece. Its preservation and display continue to fascinate and educate those interested in the rich tapestry of human history woven through everyday objects.;37.983810, 23.727539
14;Corinthian Oinochoe;Corinthian oinochoe in the Academic Arts Museum of the University of Bonn (Inv. 2662)  The oinochoe, dated between 625 and 600 BC, was produced in Corinth, which was the leader in the current pottery production and its products were exported throughout the whole Mediterranean region. Its findspot is not known. The vessel is a jug with a trefoil-shaped rim and a sometimes uplifted strap handle, that connects the rim and shoulder. The Bonn example is painted in black-figure technique, which was also invented in Corinth. Most of the vessel is painted black and decorated with covering paint and carvings. The shoulder shows a scale pattern and underneath there is a circumferential frieze with deerk, lion, bull, bird and sphinx.;corinthian_oinochoe;Corinthian_oinochoe;This Corinthian oinochoe, housed in the Academic Arts Museum of the University of Bonn, is a fine example of classical pottery from ancient Greece, dating back to between 625 and 600 BC. Originating from Corinth, a city renowned for its pioneering work in ceramic artistry during this period, this jug illustrates the dominant art forms and technical mastery of its time. Corinthian pottery was highly sought after across the Mediterranean, attesting to its wide-reaching influence and popularity.\n\nThe oinochoe itself is a type of jug commonly used in antiquity for pouring wine. It features a distinctive trefoil-shaped rim which was expertly designed to control the flow of liquid, and a robust, sometimes uplifted, strap handle that ensures a secure connection between the rim and the shoulder. This particular piece stands out with its black-figure technique, a revolutionary method developed in Corinth, wherein figures and motifs are painted in black against the natural red of the clay.\n\nThe surface of this artifact is predominantly painted black, with intricate details added using additional paint and carvings. The shoulder of the oinochoe is adorned with an elegant scale pattern, while just below, there is a captivating circumferential frieze depicting a dynamic array of wildlife including deer, lions, bulls, birds, and a sphinx. Each animal is rendered with a keen attention to detail, revealing the artistic sensibilities and symbolic considerations of the time.\n\nThis Corinthian oinochoe is not only a utility vessel but also a piece of art that tells a story of ancient cultural and trade practices, reflecting the artistic, social, and economic dynamics of early Classical Greece. It stands as a testament to the city of Corinth's status as a hub of innovation and craftsmanship in the ancient world.;37.940833, 22.957778
15;Laconian Kylix;Laconian Kylix in the Academic Arts Museum of the University of Bonn (Inv. 3144)  The kylix with a high foot, dated between 550 and 530 BC, was produced in Sparta in the ancient landscape of Laconia. Laconian pottery is recognizable by its whitish coating and decoration, which is concentrated on the inside of the bowl. The outside of the body shows a ray of light and several dark stripes of different width. The inside shows a scene with two bearded, naked men, who are talking to each other. The smaller man on the left handside has a long beard and is carrying a kantharos in his raised hand. The larger man on the right handside has a short beard and does not carry anything. The empty space around the men is filled with birds and floral elements.;laconian_kylix;Laconian_kylix;This Laconian Kylix, produced in the ancient region of Sparta around 550 to 530 BC, represents a remarkable example of ceramic artistry from the Laconian culture. The kylix, a type of drinking cup, features a distinctive high foot characteristic of the design preferences during this period in ancient Greece.\n\nThe pottery of Laconia is renowned for its unique whitish coating, a stylistic signature that sets it apart from other regional productions. The decoration on this kylix is a quintessential representation of this style, with its intricate designs primarily concentrated on the inner surface of the bowl. This focus on the interior suggests an intention for the imagery to be appreciated while the vessel was in use.\n\nThe exterior of the kylix displays a simplistic yet striking decoration with a ray design interspersed with several dark, variably-widthed stripes. These patterns create a compelling contrast to the elaborate scene depicted within the bowl.\n\nInside the kylix, a vivid scene unfolds featuring two bearded, nude men engaged in a discussion. The man on the left, depicted smaller with a longer beard, dynamically holds a kantharos—a type of ancient Greek drinking vessel—aloft, perhaps gesturing as part of their conversation. The larger figure on the right, depicted with a shorter beard, stands empty-handed, which might indicate his role or status in the dialogue. The scene is animated further with the inclusion of birds and floral elements filling the spaces around the figures, contributing to the overall dynamism and filling the composition with life and continuous interest.\n\nThis kylix not only served a functional purpose but also conveyed social and possibly symbolic meanings through its decorative imagery, reflective of the rich cultural fabric of ancient Sparta. The choice of scenes and motifs can provide insights into the social practices, artistic priorities, and daily interactions of the time, making this artifact a valuable piece for both study and appreciation in the field of ancient ceramics.;37.073184, 22.429846
17;Apulian Bell krater;Apulian Bell krater in the Academic Arts Museum of the University of Bonn (Inv. 79);apulian_bell_krater;Apulian_bell_krater;This Apulian Bell krater, housed in the Academic Arts Museum of the University of Bonn, represents a quintessential artifact from ancient Greek pottery distinguished by its distinctive shape and intricate artwork. The Bell krater, named for its bell-like silhouette, was primarily used for mixing wine with water, a common practice at symposiums or drinking parties in ancient Greek culture.\n\nThe krater's surface is ornately decorated with figures and motifs that exemplify the rich narrative art of Apulia, a region in Southern Italy renowned for its prolific production of red-figure pottery from the late 4th century BCE. These vessels often feature scenes from Greek mythology, daily life, and theatrical productions, painted in a deep red against a black background, highlighting the skills and creative narratives of the craftsmen.\n\nThis particular krater is likely to explore themes relevant to its era, possibly depicting mythological events or characters which were popular amongst the Greek settlements in Italy. This vessel not only served a functional role in ancient society but also acted as a canvas for expression and artistic endeavor, bridging utility with aesthetics.\n\nThe Apulian Bell krater is an exemplary piece for scholars and enthusiasts of classical archaeology and art history, illustrating the cross-cultural exchanges and local innovations in the ancient Mediterranean world. Its presence in the museum offers a treasured glimpse into the past civilizations that shaped today's cultural and historical understanding.;40.792839, 17.101193
18;Bottle with anthropomorphic head;Bottle in the Bonn Collection of the Americas (Inv. 5735)  The bottle has a bulbous body and a narrow neck, which is shaped like a human head. The place of origin is not known.;bottle_with_anthropomorphic_head;Bottle_with_anthropomorphic_head;This intriguing artifact from the Bonn Collection of the Americas features a distinctive bottle with a bulbous body that smoothly transitions into a narrow neck, uniquely shaped like a human head. The craftsmanship displayed in the formation of the human head, detailed with facial features, suggests a high level of skill and a deep cultural significance attached to this item. \n\nAlthough the exact place of origin is unclear, the style and characteristics hint at a possible connection to indigenous cultures of Central or South America, where such symbolism in pottery was prevalent. These regions have a rich history of using pottery for both functional and ceremonial purposes, often incorporating anthropomorphic designs that hold spiritual or mythological significance. \n\nThis bottle could have been used in rituals or as a decorative item signaling status or allegiance to a particular group or belief system. The anonymity of its origin adds an element of mystery and allure, making it a captivating piece for both historical enthusiasts and scholars in the field of pre-Columbian art.;-15.783333, -71.600000
19;Anthropomorphic vessel;Anthropomorhic vessel in the Bonn Collection of the Americas (Inv. 5733a)  The painted anthropomorphic vessel has a a narrow opening and a narrow spout. The place of origin is not known.;anthropomorphic_vessel;Anthropomorphic_vessel;This anthropomorphic vessel, housed within the Bonn Collection of the Americas, represents an excellent example of indigenous ceramic art, characterized by a human-like representation. The vessel is distinguished by its narrow opening and spout, features that indicate a design likely intended for the careful decanting or pouring of liquids. The surface is adorned with intricate painted details that offer a glimpse into the artistic traditions of its unknown cultural origin. \n\nThe lack of provenance makes it a particularly intriguing piece, as it prompts scholars and enthusiasts to speculate about its origins and the people who crafted it. It stands as a testament to the skill and creativity of its makers, reflecting the complex social and spiritual beliefs of its time. This vessel not only serves a functional purpose but also acts as a cultural artifact, providing insight into the daily life and religious practices of a lost civilization.;-13.163068, -72.545128
20;Saint-Valentin cup;Cup in the Academic Arts Museum of the University of Bonn (Inv. 160)  The cup, dated to the late 5th or early 4th century BC, is part of the class of the so-called Saint-Valentin kantharoi. The cup is bell-shaped and has vertically attached handles, that connect the rim and the lower part of the body of the cup. It was either produced in Attica or in Apulia following an Attic role model. The body shows on each side a panel with an ionic cyma at the upper and lower edge, the field is filled with laurel and ivy wreaths as well as dotted lines.;saint-valentin_cup;Saint-valentin_cup;This exquisite cup from the collection at the Academic Arts Museum of the University of Bonn is a striking example of the craftsmanship prevalent in the late 5th or early 4th century BC. It is identified as belonging to the Saint-Valentin kantharoi, a distinct class of ancient Greek pottery known for its elegant and functional design.\n\nThe cup is distinguishably bell-shaped and features vertically attached handles, which not only create a harmonious visual balance but also provide a robust connection between the rim and the base of the cup. This design not only highlights the aesthetic values of the period but also reflects the practical aspects of vessel use.\n\nWhether crafted in Attica or in Apulia, following an Attic prototype, this cup illustrates the cross-cultural exchange in pottery production techniques and artistic expressions evident in ancient times. The influence of Attic pottery, renowned for its sophistication and quality, is clearly observed in the craftsmanship of this piece.\n\nDecoration on the cup is subtle yet sophisticated. Each side of the cup showcases a paneled design bordered by an Ionic cyma - a type of decorative moulding typical in classical architecture. Inside these panels, the space is intricately filled with patterns of laurel and ivy wreaths, interspersed with dotted lines. These motifs are not just decorative but are symbolic, with laurel wreaths often representing victory and ivy symbolizing festive joy and divine blessing in ancient Greek culture.\n\nThis kantharos, with its blend of aesthetic charm and symbolic depth, offers a vivid window into the daily life and spiritual ideals of ancient Greece, making it a valuable piece both for its historical import and artistic merit.;37.983810, 23.727539
21;Vessel with geometric pattern;Vessel with geometric pattern in the Bonn Collection of the Americas (Inv. 5701)  The place of origin of the vessel with geometric pattern is unknown.;vessel_with_geometric_pattern;Vessel_with_geometric_pattern;This intriguing vessel, part of the esteemed Bonn Collection of the Americas, features a compelling geometric pattern that captures the observer's imagination. Its precise origin remains a mystery, which adds an element of intrigue and speculation about the cultural and historical contexts that could have influenced its design.\n\nThe vessel’s surface is adorned with meticulously arranged geometric motifs, possibly symbolizing ancient narratives or serving a ceremonial purpose. The craftsmanship suggests it was created by skilled artisans who had a deep understanding of mathematical concepts and a keen eye for aesthetic detail. Such designs were not only decorative but often held significant cultural symbolism, perhaps indicating the status of the owner or intended for use in specific rituals.\n\nThough the vessel's exact provenance is unknown, its style and decoration could provide valuable insights into the interactions between different cultural groups and the diffusion of artistic techniques across regions. This piece remains a profound testament to the artistry and complexities of ancient American civilizations.;15.000000, -90.000000
22;Cup with painted face;Cup with painted face in the Bonn Collection of the Americas (Inv. Hn55)  The cup-shaped polychrome vessel has two handles which are attached vertically. The opening irregularly shaped rim of the vessel bears a wreath of vertical lines in alternating colors of ochre, red and black. The ochre face, placed between the handles, has painted exes and mouth with profiled nose. The face looks awake and cheerful with wide open eyes, open and bean shaped smiling mouth with dimples. The diamond-shaped eyes are framed by a black c-shape, with distinctively painted eyebrows above. Below the face appear two symmetrically arranged elements that can be seen as feet or hands. The figure wears an ochre robe. The place of origin is unknown. The object belongs to the collection of Teddy Hahn.;cup_with_painted_face;Cup_with_painted_face;This fascinating artifact is a cup from the Bonn Collection of the Americas, intricately designed with a cheerful, painted face. The vessel itself is polychrome, meaning it makes use of multiple colors in its design, which includes ochre, red, and black. Its form is particularly notable for the two handles that rise vertically, adding both symmetry and practicality to its structure.\n\nThe rim of the cup is irregularly shaped, adding a unique character to the piece. Adorning this rim is a carefully painted wreath of vertical lines, showcasing alternating colors that enhance the visual appeal of the cup. Central to the vessel's design is the ochre-colored face, strategically positioned between the two handles. This face, with its wide, diamond-shaped, and black-framed eyes, exudes a sense of vivacity and joy. The eyes, coupled with the distinctly painted eyebrows, give the impression that the face is not just a static image but a portrayal of a lively, expressive figure.\n\nThe mouth of the face is open in a bean-shaped smile, complete with dimples, hinting at a figure caught in a moment of joy or laughter. The face also features a profiled nose and painted 'X's—details that suggest the craftsmanship and attention to detail given to this piece. Below the face, two elements resembling either feet or hands are symmetrically arranged, suggesting that the face might be part of a larger figure or being, depicted wearing an ochre robe.\n\nAlthough the place of origin of this intriguing cup is unknown, it forms a significant part of the Teddy Hahn collection. The artifact not only represents a specific aesthetic and artistic effort but also serves as a window into the cultural expressions and artistic endeavors of its unknown creators. This cup is not just a vessel, it is a piece of art that complements any collection of Americana or decorative art objects, provoking curiosity about its origins and the people who crafted it.;14.634915, -90.506882
